0: 540,466
281: 12,619,300,13,274
282: 
283: 86
284: 132,188,328,349,33,86,593
285: 169,529,550,362,137,537,179,199
286: 277,532,466
287: 11,483,203,135,475,594,353,130,244
288: 338,380,315,120,248,422,143,16,393,106
289: 479,411
290: 429,542,317,336,578,87,59
291: 122,444,244,230,133,580,317,11
292: 348,539,524,621,487
293: 151,318,252,35,517,174,415,345,457,352,614
294: 372,262
295: 12,80,200,13,432,220,501
296: 357,193,401,500,53,102,184,383,455,480
297: 365,332,95,344,476,109
298: 72,182
299: 218,246,209
300: 13,232,579,339,398,619,12,281,50,249,274
301: 346
302: 98
303: 180,418,114,237,378,516,600,269,128,75,229
304: 
305: 525,215,231,212,223,258,522
306: 604,149,40,239,205,120,541,527,193,71,77
307: 262,595,405,518
308: 52,329,278
309: 379,463
310: 48,232,530,159,253,564,221,368
311: 61,51,511,164,62,36,184,413,543
312: 4,233
313: 170,93,237,512,197
314: 496,98
315: 338,64,288,143,523,125
316: 377,62,164
317: 142,580,230,11,291,578,87,146,290,584,59
318: 293,60,252,619,457,454
319: 63
320: 190,535,100
321: 226,481
322: 2,333,127,617,39,189,359,126
323: 30,44,253,608,164
324: 474,197
325: 168,65
326: 
327: 226,350,124,548,416,360,557,15,423
328: 284,354,188,349,91,29
329: 201,308,34
330: 205,31,579,123,456,368,28,381,414
331: 260,444,27,421,267,118,533,526
332: 297,365,6,107
333: 2,322,39,545,534
334: 
335: 504,413,101,430,356,17
336: 74,6,190,578,87,79,354,132,429,290
337: 119,582,20
338: 8,288,276,315,120,143,25,26
339: 300,13,31,432,232,579,12,50,417,597,353,563,210,244
340: 620,175
341: 155,203,541,40,130,420,145,87
342: 390,566
343: 541,193,71,500,238,95,344,476,145
344: 297,95,343,238,17,419
345: 457,174,293,614,108
346: 301,478,362,263,363,188,157,33
347: 503,194,514,379,115
348: 292,539,524,119
349: 91,508,284,328,86,385
350: 327,159,567,278,14,423
351: 492,30,19,453,163,32,399
352: 433,614,172,538,625,415,293,264,252
353: 364,275,417,414,597,563,214,31,339,130,244,287,135,475
354: 79,132,328,6,190,336,213
355: 278,494,158,567
356: 335,401
357: 296,527,193,456,590,149,571,420,475
358: 434,616,235,247,443,470,502
359: 189,379,322
360: 268,521,599,327,416,423
361: 240,184,497,397,38,395,42,53
362: 285,84,179,478,346
363: 91,188,346,33
364: 275,417,353,114,214,436,135,251
365: 297,332,95,476,145,425,6
366: 178,482,54,127,261,393
367: 215,90,17,109
368: 61,123,253,36,564,205,48,310,232,330
369: 
370: 534,615,236,76,39
371: 539,621,213
372: 595,294
373: 34
374: 58,197,418,436,449,391
375: 280,201
376: 424,5,43
377: 555,44,316
378: 172,237,437,516,572,93,180,249,418,303
379: 359,347,309
380: 64,8,288,587,561,393,212
381: 123,456,28,330,579,398,103,536,414
382: 33,65,217
383: 42,455,184,296,53,480
384: 535,132
385: 349,508
386: 410,598,577,216,247,448,443,56,440,24
387: 504,101,211,19,453,576,16,482,393
388: 513,185,468,622,136
389: 504,212,178,231,90
390: 342,581,405,169,529
391: 394,75,192,229,114,58,374,197
392: 128,426,404,227,237,170,512,427
393: 561,261,589,16,366,387,212,64,380,288
394: 129,75,391,192,202,114,166
395: 38,361,241,96
396: 429,188,542,168,402,421,118,33
397: 497,511,590,588,361,184,53
398: 300,232,579,264,271,381,536,50
