0: 540,286,466
433: 318,60,252,264,352,378,619,614,625,293,153,108
434: 226,134,110,124,570,443,247,15,629,554,470
435: 736
436: 210,449,374,364,417,418,594,672,58,267,214,18
437: 303,614,625,237,538,516,572,809,735,610,600,568
438: 314,461,69,253,494
439: 287,483,130,652,718,546,59,421,429,396,155
440: 204,37,495,489,54,399,765,16
441: 545,477,2,587,770,678
442: 515,359,379
443: 434,247,250,565,554,502
444: 291,260,214,584,830,11,652,542,546,244,701,59
445: 85,83,88,255
446: 35,151,268,706,88,415,352,293
447: 535,719,596,654,384
448: 204,37,216
449: 210,436,274,374,93,364,417,249,418
450: 425,71,541,476,219,239,834
451: 225,678,94,459,506
452: 697,680
453: 492,233,660,387,206
454: 573,619,557,171,60,13,630,498
455: 383,356,102
456: 624,507,626,550,684,116,789,571,757
457: 573,35,345,318,108
458: 618,97,769,462,591,142
459: 94,781,225,195,451,73,506
460: 491,758,176
461: 314,438,271,496,253,494,28,486,538,103
462: 834,338,618,276,228,769,458,142
463: 746,178,347
464: 205,711,200,13,48,737,432,232,300,579,669,220,12,31,623
465: 636,761
466: 286,0
467: 104
468: 388,513,185,727,192,672,267,251,260,520,27,18
469: 587,589,740,708,224,828,41,125,477
470: 82,502,272,124,434,557,629,554,220,498
471: 24,551,528,147
472: 70,54,673,491,767,216
473: 163,201,674
474: 394,391,114,721,698,741,197,418,374,58,324,787
475: 420,341,203,149,810,130,689,647
476: 90,49,679,71,219,344,450
477: 441,694,2,587,469,770,161
478: 199,185,691,727,693,285,686
479: 410,838,111,386,247,250,586,226
480: 173,613,102,270,150
481: 15,416,250,226,321
482: 366,211,547,183,776
483: 11,130,657,689,652,546,439,251,244,203
484: 567,158,151,268,88,355
485: 167,174
486: 253,494,83,415,352,461,538
487: 539,524,348,621,86,593,385,603,292
488: 266,835
489: 211,54,399,673,495,440,660,765,387,785,393
490: 190,634,6,107,407,29
491: 460,7,635,472,673
492: 19,453,44,311,660,666,822,164,36
493: 420,537,757,203,613,179,362,550
494: 69,752,253,486,83,461,438
495: 204,37,440,668,489,54,41,127,589,393,819
496: 610,314,461,600,98,568,186,55
497: 69,762,52,637,639,395,511,61,795
498: 295,12,630,557,454,220,82,470,13
499: 761,696,99,636,72
500: 724,541,149,193,343,559,750,40,420,341,145,259
501: 133,642,804,295,12,699,191,26
502: 82,470,443,565,554
503: 234,514,194,379
504: 248,576,106,77,206,19,387,366,393,288
505: 428,615,196,37,767,216,56,668,705
506: 451,459,141,73
507: 624,456,103,137,626,684,381,583,55,791,536,275,414
508: 363,91,256,349
509: 166,78,655,96
510: 221,279,616,629,235,220,48
511: 240,184,497,52,608,61,839
512: 692,712,698,392,197,787
513: 388,185,691,468,727,421,520,136,27,118
514: 194,574,503,234,165
515: 359,805,442,379,322
516: 237,437,572,809,47,172,568,732
